Name,Team,Sport,num_medals
"Mihly Mayer",Hungary,"Water Polo",4
"Viktor Georgiyevich Mazanov","Soviet Union",Swimming,4
"Klementina "Tina"" Maze"",Slovenia,"Alpine Skiing",4
"Adam Henryk Maysz",Poland,"Ski Jumping",4
"Marnie Elizabeth McBean",Canada,Rowing,4
"Patricia Joan "Pat"" McCormick (Keller-)"","United States",Diving,4
"Michael Scott "Mike"" McKay"",Australia,Rowing,4
"Herbert Henry "Herb"" McKenley"",Jamaica,Athletics,4
"Emma McKeon",Australia,Swimming,4
"LaShawn Merritt","United States",Athletics,4
"Ralph Harold Metcalfe","United States",Athletics,4
"Caren Metschuck (-Mahn)","East Germany",Swimming,4
"Dorothy Poynton-Hill (-Teuber)","United States",Diving,4
"Stanislav Alekseyevich Pozdnyakov",Russia,Fencing,4
"Tamara Natanovna Press","Soviet Union",Athletics,4
"Alexander Pusch","West Germany",Fencing,4
"Donald O'Reilly "Don"" Quarrie"",Jamaica,Athletics,4
"Lonce Gaston Quentin",France,Archery,4
"Saverio Ragno",Italy,Fencing,4
"Benjamin Raich",Austria,"Alpine Skiing",4
